Project,Issue,Link,Patch,IssueLink,patchLink,MajorLeak,LeakType,DetectionType,DetectionMethod,DefectType,FileType,FixType,Transformation,Duration (days),files,churn,addedLines,removedLines,modifiedFiles,addedFiles,removedFiles
SOLR,SOLR-2912,https://issues.apache.org/jira/browse/SOLR-2912,https://issues.apache.org/jira/secure/attachment/12505002/SOLR-2912.patch,SOLR-2912,SOLR-2912,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,disposeReg,Add try-finally block,0.7880196759,1,6,5,1,1,0,0
SOLR,SOLR-2927,https://issues.apache.org/jira/browse/SOLR-2927,https://issues.apache.org/jira/secure/attachment/12679206/SOLR-2927.patch,SOLR-2927,SOLR-2927,Memory,Memory,Source code-based detection,Manual code inspection,exception,java,removeElm,Complex,1098.360038,2,28,18,10,2,0,0
SOLR,SOLR-3187,https://issues.apache.org/jira/browse/SOLR-3187,https://issues.apache.org/jira/secure/attachment/12516654/SOLR-3187.patch,SOLR-3187,SOLR-3187,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,disposeExcep,Add a checker,5.160845498,1,17,11,6,1,0,0
SOLR,SOLR-3392,https://issues.apache.org/jira/browse/SOLR-3392,https://github.com/apache/lucene-solr/commit/ab0099f65270b31d61f6a12f536149bec1880cd7.patch,SOLR-3392,SOLR-3392,Memory,Memory,Runtime detection,Runtime,unreleasedRef,java,releaseRef,Complex,0.8498850694,1,3,2,1,1,0,0
SOLR,SOLR-3587,https://issues.apache.org/jira/browse/SOLR-3587,No leak,SOLR-3587,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
SOLR,SOLR-3695,https://issues.apache.org/jira/browse/SOLR-3695,No leak,SOLR-3695,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
SOLR,SOLR-3699,https://issues.apache.org/jira/browse/SOLR-3699,https://issues.apache.org/jira/secure/attachment/12544306/SOLR-3699.patch,SOLR-3699,SOLR-3699,Resource,File handle,Runtime detection,Failed test,exception,java,disposeExcep,Complex,37.87949582,7,61,47,14,7,0,0
SOLR,SOLR-3849,https://issues.apache.org/jira/browse/SOLR-3849,https://issues.apache.org/jira/secure/attachment/12545533/SOLR-3849.patch,SOLR-3849,SOLR-3849,Resource,Thread,Runtime detection,Failed test,nonClosedRes,xml,others,Modify configuration,0.443610625,0,0,0,0,0,0,0
SOLR,SOLR-4032,https://issues.apache.org/jira/browse/SOLR-4032,No leak,SOLR-4032,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
SOLR,SOLR-4327,https://issues.apache.org/jira/browse/SOLR-4327,https://issues.apache.org/jira/secure/attachment/12608175/SOLR-4327.patch,SOLR-4327,SOLR-4327,Resource,Connection,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add a checker,265.4074961,1,6,6,0,1,0,0
SOLR,SOLR-4829,https://issues.apache.org/jira/browse/SOLR-4829,https://issues.apache.org/jira/secure/attachment/12583496/SOLR-4829.patch,SOLR-4829,SOLR-4829,Memory,Memory,Source code-based detection,Manual code inspection,unreleasedRef,java,releaseRef,Complex,0.3648224074,3,47,37,10,3,0,0
SOLR,SOLR-4920,https://issues.apache.org/jira/browse/SOLR-4920,https://github.com/apache/lucene-solr/commit/14d7d11d59c3e00e26fc28e3c3f82b6d4dd8a092.patch,SOLR-4920,SOLR-4920,Resource,Connection,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add try-exception block,0.4665185532,1,116,68,48,1,0,0
SOLR,SOLR-5186,https://issues.apache.org/jira/browse/SOLR-5186,https://issues.apache.org/jira/secure/attachment/12599644/SOLR-5186.patch,SOLR-5186,SOLR-5186,Resource,Thread,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add call to dispose function,60.99045779,1,32,16,16,1,0,0
SOLR,SOLR-5601,https://issues.apache.org/jira/browse/SOLR-5601,No leak,SOLR-5601,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
SOLR,SOLR-6146,https://issues.apache.org/jira/browse/SOLR-6146,https://issues.apache.org/jira/secure/attachment/12649568/SOLR-6146.patch,SOLR-6146,SOLR-6146,Resource,File handle,Runtime detection,Runtime,exception,java,disposeExcep,Add a checker,4.530594144,1,10,9,1,1,0,0
SOLR,SOLR-6148,https://issues.apache.org/jira/browse/SOLR-6148,https://issues.apache.org/jira/secure/attachment/12648750/SOLR-6148.patch,SOLR-6148,SOLR-6148,Resource,Thread,Source code-based detection,Manual code inspection,unreleasedRef,java,threadDown,Add an initilization object,2.850211019,1,9,5,4,1,0,0
SOLR,SOLR-6336,https://issues.apache.org/jira/browse/SOLR-6336,https://github.com/apache/lucene-solr/commit/c805a20bf57d3ac036ef55f9c7a32d0b1defd7b1.patch,SOLR-6336,SOLR-6336,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,threadSafe,Complex,4.312525845,1,143,60,83,1,0,0
SOLR,SOLR-640,https://issues.apache.org/jira/browse/SOLR-640,https://issues.apache.org/jira/secure/attachment/12386530/SOLR-640.patch,SOLR-640,SOLR-640,Memory,Memory,Runtime detection,Runtime,unreleasedRef,java,releaseRef,Add finally block,0.07437802084,4,11,6,5,4,0,0
SOLR,SOLR-6406,https://issues.apache.org/jira/browse/SOLR-6406,https://issues.apache.org/jira/secure/attachment/12769799/SOLR-6406.patch,SOLR-6406,SOLR-6406,Resource,Thread,Runtime detection,Failed test,concurrency,java,threadSafe,Complex,615.0345769,1,252,125,127,1,0,0
SOLR,SOLR-6592,https://issues.apache.org/jira/browse/SOLR-6592,https://issues.apache.org/jira/secure/attachment/12673132/SOLR-6592.patch,SOLR-6592,SOLR-6592,Resource,Thread,Runtime detection,Failed test,exception,java,disposeExcep,Add a checker,7.210549132,1,17,17,0,1,0,0
SOLR,SOLR-7843,https://issues.apache.org/jira/browse/SOLR-7843,https://github.com/apache/lucene-solr/commit/ab3c1a48cdbbb7e795a438850a72f24d0a623ed8.patch,SOLR-7843,SOLR-7843,Memory,Memory,Runtime detection,Out-of-memory error,collection,java,removeElm,Add finally block,86.10091831,1,2,2,0,1,0,0
SOLR,SOLR-8253,https://issues.apache.org/jira/browse/SOLR-8253,https://github.com/apache/lucene-solr/commit/ccfdb5dce2bc5a9c4bc15ed80ef16470ac352930.patch,SOLR-8253,SOLR-8253,Resource,Thread,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add try-finally block,0.195236412,1,8,6,2,1,0,0
SOLR,SOLR-8255,https://issues.apache.org/jira/browse/SOLR-8255,https://github.com/apache/lucene-solr/commit/4921f135763e56038d2d5398d270aea463594691.patch,SOLR-8255,SOLR-8255,Resource,Thread,Source code-based detection,Manual code inspection,wrongAPI,java,threadSafe,Use another collection,0.202969838,1,4,2,2,1,0,0
SOLR,SOLR-8423,https://issues.apache.org/jira/browse/SOLR-8423,No leak,SOLR-8423,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
SOLR,SOLR-8908,https://issues.apache.org/jira/browse/SOLR-8908,https://github.com/apache/lucene-solr/commit/b36a6ecbe44d9b458fe79198616a4bed19d4c08b.patch,SOLR-8908,SOLR-8908,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Complex,19.78404272,4,97,87,10,4,0,0
SOLR,SOLR-9116,https://issues.apache.org/jira/browse/SOLR-9116,https://issues.apache.org/jira/secure/attachment/12804204/SOLR-9116.patch,SOLR-9116,SOLR-9116,Memory,Memory,Runtime detection,Runtime,concurrency,java,threadSafe,Add a checker,32.20175894,1,13,13,0,1,0,0
SOLR,SOLR-9117,https://issues.apache.org/jira/browse/SOLR-9117,https://issues.apache.org/jira/secure/attachment/12804206/SOLR-9117.patch,SOLR-9117,SOLR-9117,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Remove unused statements,32.19137571,2,10,0,10,2,0,0
HADOOP,YARN-1145,https://issues.apache.org/jira/browse/YARN-1145,https://issues.apache.org/jira/secure/attachment/12612346/YARN-1145.4.patch,YARN-1145,YARN-1145,Resource,File handle,Runtime detection,Runtime,exception,java,disposeExcep,Add finally block,109.5602966,3,187,95,92,3,0,0
HADOOP,YARN-1189,https://issues.apache.org/jira/browse/YARN-1189,https://issues.apache.org/jira/secure/attachment/12603017/YARN-1189-20130913.txt,YARN-1189,YARN-1189,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add call to dispose function,1.156075926,1,1,1,0,1,0,0
HADOOP,YARN-1382,https://issues.apache.org/jira/browse/YARN-1382,https://issues.apache.org/jira/secure/attachment/12779913/0003-YARN-1382.patch,YARN-1382,YARN-1382,Memory,Memory,Source code-based detection,Manual code inspection,unreleasedRef,java,removeElm,Remove unused statements,789.9226108,1,14,1,13,1,0,0
HADOOP,YARN-1920,https://issues.apache.org/jira/browse/YARN-1920,https://issues.apache.org/jira/browse/YARN-1920,YARN-1920,YARN-1920,Resource,File handle,Runtime detection,Failed test,nonClosedRes,test,disposeReg,Add call to dispose function,0.7097454977,0,0,0,0,0,0,0
HADOOP,YARN-2409,https://issues.apache.org/jira/browse/YARN-2409,https://issues.apache.org/jira/secure/attachment/12661455/YARN-2409.patch,YARN-2409,YARN-2409,Resource,Thread,Runtime detection,Runtime,nonClosedRes,java,threadDown,Add call to dispose function,7.290875081,1,1,1,0,1,0,0
HADOOP,YARN-2484,https://issues.apache.org/jira/browse/YARN-2484,https://issues.apache.org/jira/secure/attachment/12668255/YARN-2484.2.patch,YARN-2484,YARN-2484,Resource,File handle,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Add try-finally block,12.86269314,1,28,19,9,1,0,0
HADOOP,YARN-2662,https://issues.apache.org/jira/browse/YARN-2662,https://issues.apache.org/jira/secure/attachment/12673723/YARN-2662.1.patch,YARN-2662,YARN-2662,Resource,File handle,Runtime detection,Failed test,nonClosedRes,test,disposeReg,Add try-finally block,1.327658148,0,0,0,0,0,0,0
HADOOP,YARN-2825,https://issues.apache.org/jira/browse/YARN-2825,https://issues.apache.org/jira/secure/attachment/12680289/YARN-2825.4.patch,YARN-2825,YARN-2825,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add a checker,0.934310208,1,25,17,8,1,0,0
HADOOP,YARN-293,https://issues.apache.org/jira/browse/YARN-293,https://issues.apache.org/jira/secure/attachment/12562491/YARN-293-trunk.txt,YARN-293,YARN-293,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add call to dispose function,6.615292778,2,66,33,33,2,0,0
HADOOP,YARN-2988,https://issues.apache.org/jira/browse/YARN-2988,https://issues.apache.org/jira/secure/attachment/12688913/YARN-2988-001.patch,YARN-2988,YARN-2988,Resource,File handle,Source code-based detection,Manual code inspection,nonClosedRes,java,disposeReg,Add try-with-resource construct,1.347382257,1,7,5,2,1,0,0
HADOOP,YARN-3336,https://issues.apache.org/jira/browse/YARN-3336,https://issues.apache.org/jira/secure/attachment/12706081/YARN-3336.004.patch,YARN-3336,YARN-3336,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add try-finally block,11.71676499,1,11,9,2,1,0,0
HADOOP,YARN-3472,https://issues.apache.org/jira/browse/YARN-3472,https://issues.apache.org/jira/secure/attachment/12724921/0002-YARN-3472.patch,YARN-3472,YARN-3472,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add call to dispose function,3.971392708,1,1,1,0,1,0,0
HADOOP,YARN-3497,https://issues.apache.org/jira/browse/YARN-3497,No leak,YARN-3497,No leak,No leak,No leak,,,,,,,,0,0,0,0,0,0,0
HADOOP,YARN-3594,https://issues.apache.org/jira/browse/YARN-3594,https://issues.apache.org/jira/secure/attachment/12734617/YARN-3594.1.patch,YARN-3594,YARN-3594,Resource,File handle,Runtime detection,Warning message,nonClosedRes,java,disposeReg,Add try-with-resource construct,14.62265951,1,9,3,6,1,0,0
HADOOP,YARN-3793,https://issues.apache.org/jira/browse/YARN-3793,https://issues.apache.org/jira/secure/attachment/12741937/YARN-3793.01.patch,YARN-3793,YARN-3793,Resource,File handle,Runtime detection,Runtime,callSchedule,java,disposeReg,Add a checker,21.01658428,1,10,5,5,1,0,0
HADOOP,YARN-3857,https://issues.apache.org/jira/browse/YARN-3857,https://issues.apache.org/jira/secure/attachment/12748411/YARN-3857-4.patch,YARN-3857,YARN-3857,Memory,Memory,Source code-based detection,Manual code inspection,collection,java,removeElm,Add a checker,53.38055733,2,14,11,3,2,0,0
HADOOP,YARN-4096,https://issues.apache.org/jira/browse/YARN-4096,https://issues.apache.org/jira/secure/attachment/12753307/YARN-4096.001.patch,YARN-4096,YARN-4096,Resource,File handle,Source code-based detection,Manual code inspection,exception,java,disposeExcep,Complex,8.179238576,3,17,13,4,3,0,0
HADOOP,YARN-4325,https://issues.apache.org/jira/browse/YARN-4325,https://issues.apache.org/jira/secure/attachment/12803960/YARN-4325-v4.patch,YARN-4325,YARN-4325,Resource,File handle,Runtime detection,Runtime,nonClosedRes,java,others,Complex,195.8666612,4,16,14,2,4,0,0
HADOOP,YARN-4520,https://issues.apache.org/jira/browse/YARN-4520,No leak,YARN-4520,No leak,No leak,No leak,,,,,,,,1,6,6,0,1,0,0
HADOOP,YARN-4581,https://issues.apache.org/jira/browse/YARN-4581,https://issues.apache.org/jira/secure/attachment/12781743/YARN-4581.01.patch,YARN-4581,YARN-4581,Resource,Thread,Runtime detection,Runtime,exception,java,disposeExcep,Add try-exception block,3.554663935,1,17,11,6,1,0,0
HADOOP,YARN-4984,https://issues.apache.org/jira/browse/YARN-4984,https://issues.apache.org/jira/secure/attachment/12801222/YARN-4984-v4.patch,YARN-4984,YARN-4984,Resource,Thread,Runtime detection,Runtime,exception,java,disposeExcep,Add call to dispose function,13.91255558,1,6,3,3,1,0,0
HADOOP,YARN-5197,https://issues.apache.org/jira/browse/YARN-5197,https://issues.apache.org/jira/secure/attachment/12809463/YARN-5197.003.patch,YARN-5197,YARN-5197,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Complex,18.34559139,1,35,35,0,1,0,0
HADOOP,YARN-5296,https://issues.apache.org/jira/browse/YARN-5296,https://issues.apache.org/jira/secure/attachment/12816071/YARN-5296-v2.1.patch,YARN-5296,YARN-5296,Resource,Thread,Runtime detection,Out-of-memory error,nonClosedRes,java,threadDown,Add dispose function,8.36532809,2,14,12,2,2,0,0
HADOOP,YARN-5309,https://issues.apache.org/jira/browse/YARN-5309,https://issues.apache.org/jira/secure/attachment/12818180/YARN-5309.005.patch,YARN-5309,YARN-5309,Resource,Thread,Runtime detection,Runtime,nonClosedRes,java,threadDown,Add a checker,18.19650358,1,21,12,9,1,0,0
HADOOP,YARN-5353,https://issues.apache.org/jira/browse/YARN-5353,https://issues.apache.org/jira/secure/attachment/12817239/YARN-5353.001.patch,YARN-5353,YARN-5353,Memory,Memory,Runtime detection,Runtime,collection,java,removeElm,Add call to dispose function,1.459265544,1,6,1,5,1,0,0
HADOOP,YARN-58,https://issues.apache.org/jira/browse/YARN-58,https://issues.apache.org/jira/secure/attachment/12541122/MAPREDUCE-4323.patch,YARN-58,YARN-58,Resource,File handle,Runtime detection,Runtime,exception,java,disposeExcep,Add try-exception block,74.12865384,2,43,33,10,2,0,0
